,symboling,CompanyName,fueltype,aspiration,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,horsepower,peakrpm,citympg,highwaympg,price,out
0,3,17,0,0,1,4,1,88.6,168.8,64.1,48.8,2548,3,0,130,0,3.47,2.68,111,5000,21,27,13495.0,False
1,3,17,0,0,1,4,1,88.6,168.8,64.1,48.8,2548,3,0,130,0,3.47,2.68,111,5000,21,27,16500.0,False
2,1,17,0,0,1,1,1,94.5,171.2,65.5,52.4,2823,4,1,152,0,2.68,3.47,154,5000,19,26,16500.0,False
3,2,10,0,0,0,0,0,99.8,176.6,66.2,54.3,2337,0,0,109,0,3.19,3.4,102,5500,24,30,13950.0,False
4,2,10,0,0,0,0,2,99.4,176.6,66.4,54.3,2824,0,2,136,0,3.19,3.4,115,5500,18,22,17450.0,False
5,2,10,0,0,1,0,0,99.8,177.3,66.3,53.1,2507,0,2,136,0,3.19,3.4,110,5500,19,25,15250.0,False
6,1,10,0,0,0,0,0,105.8,192.7,71.4,55.7,2844,0,2,136,0,3.19,3.4,110,5500,19,25,17710.0,False
7,1,10,0,0,0,2,0,105.8,192.7,71.4,55.7,2954,0,2,136,0,3.19,3.4,110,5500,19,25,18920.0,False
8,1,10,0,1,0,0,0,105.8,192.7,71.4,55.9,3086,0,2,131,0,3.13,3.4,140,5500,17,20,23875.0,False
9,0,10,0,1,1,1,2,99.5,178.2,67.9,52.0,3053,0,2,131,0,3.13,3.4,160,5500,16,22,17859.167,False
10,2,13,0,0,1,0,1,101.2,176.8,64.8,54.3,2395,0,0,108,0,3.5,2.8,101,5800,23,29,16430.0,False
11,0,13,0,0,0,0,1,101.2,176.8,64.8,54.3,2395,0,0,108,0,3.5,2.8,101,5800,23,29,16925.0,False
12,0,13,0,0,1,0,1,101.2,176.8,64.8,54.3,2710,0,1,164,0,3.31,3.19,121,4250,21,28,20970.0,False
13,0,13,0,0,0,0,1,101.2,176.8,64.8,54.3,2765,0,1,164,0,3.31,3.19,121,4250,21,28,21105.0,False
14,1,13,0,0,0,0,1,103.5,189.0,66.9,55.7,3055,0,1,164,0,3.31,3.19,121,4250,20,25,24565.0,False
18,2,16,0,0,1,1,0,88.4,141.1,60.3,53.2,1488,1,4,61,1,2.91,3.03,48,5100,47,53,5151.0,False
19,1,16,0,0,1,1,0,94.5,155.9,63.6,52.0,1874,0,0,90,1,3.03,3.11,70,5400,38,43,6295.0,False
20,0,16,0,0,0,0,0,94.5,158.8,63.6,52.0,1909,0,0,90,1,3.03,3.11,70,5400,38,43,6575.0,False
21,1,9,0,0,1,1,0,93.7,157.3,63.8,50.8,1876,0,0,90,1,2.97,3.23,68,5500,37,41,5572.0,False
22,1,9,0,0,1,1,0,93.7,157.3,63.8,50.8,1876,0,0,90,1,2.97,3.23,68,5500,31,38,6377.0,False
23,1,9,0,1,1,1,0,93.7,157.3,63.8,50.8,2128,0,0,98,0,3.03,3.39,102,5500,24,30,7957.0,False
24,1,9,0,0,0,1,0,93.7,157.3,63.8,50.6,1967,0,0,90,1,2.97,3.23,68,5500,31,38,6229.0,False
25,1,9,0,0,0,0,0,93.7,157.3,63.8,50.6,1989,0,0,90,1,2.97,3.23,68,5500,31,38,6692.0,False
26,1,9,0,0,0,0,0,93.7,157.3,63.8,50.6,1989,0,0,90,1,2.97,3.23,68,5500,31,38,7609.0,False
27,1,9,0,1,1,0,0,93.7,157.3,63.8,50.6,2191,0,0,98,0,3.03,3.39,102,5500,24,30,8558.0,False
28,-1,9,0,0,0,2,0,103.3,174.6,64.6,59.8,2535,0,0,122,1,3.34,3.46,88,5000,24,30,8921.0,False
29,3,9,0,1,1,1,0,95.9,173.2,66.3,50.2,2811,0,0,156,6,3.6,3.9,145,5000,19,24,12964.0,False
30,2,4,0,0,1,1,0,86.6,144.6,63.9,50.8,1713,0,0,92,3,2.91,3.41,58,4800,49,54,6479.0,False
31,2,4,0,0,1,1,0,86.6,144.6,63.9,50.8,1819,0,0,92,3,2.91,3.41,76,6000,31,38,6855.0,False
32,1,4,0,0,1,1,0,93.7,150.0,64.0,52.6,1837,0,0,79,3,2.91,3.07,60,5500,38,42,5399.0,False
33,1,4,0,0,1,1,0,93.7,150.0,64.0,52.6,1940,0,0,92,3,2.91,3.41,76,6000,30,34,6529.0,False
34,1,4,0,0,1,1,0,93.7,150.0,64.0,52.6,1956,0,0,92,3,2.91,3.41,76,6000,30,34,7129.0,False
35,0,4,0,0,0,0,0,96.5,163.4,64.0,54.5,2010,0,0,92,3,2.91,3.41,76,6000,30,34,7295.0,False
36,0,4,0,0,0,2,0,96.5,157.1,63.9,58.3,2024,0,0,92,3,2.92,3.41,76,6000,30,34,7295.0,False
37,0,4,0,0,1,1,0,96.5,167.5,65.2,53.3,2236,0,0,110,3,3.15,3.58,86,5800,27,33,7895.0,False
38,0,4,0,0,1,1,0,96.5,167.5,65.2,53.3,2289,0,0,110,3,3.15,3.58,86,5800,27,33,9095.0,False
39,0,4,0,0,0,0,0,96.5,175.4,65.2,54.1,2304,0,0,110,3,3.15,3.58,86,5800,27,33,8845.0,False
40,0,4,0,0,0,0,0,96.5,175.4,62.5,54.1,2372,0,0,110,3,3.15,3.58,86,5800,27,33,10295.0,False
41,0,4,0,0,0,0,0,96.5,175.4,65.2,54.1,2465,0,0,110,0,3.15,3.58,101,5800,24,28,12945.0,False
42,1,4,0,0,1,0,0,96.5,169.1,66.0,51.0,2293,0,0,110,1,3.15,3.58,100,5500,25,31,10345.0,False
43,0,14,0,0,0,0,1,94.3,170.7,61.8,53.5,2337,0,0,111,1,3.31,3.23,78,4800,24,29,6785.0,False
44,1,14,0,0,1,0,0,94.5,155.9,63.6,52.0,1874,0,0,90,1,3.03,3.11,70,5400,38,43,8916.5,False
45,0,14,0,0,0,0,0,94.5,155.9,63.6,52.0,1909,0,0,90,1,3.03,3.11,70,5400,38,43,8916.5,False
46,2,14,0,0,1,1,1,96.0,172.6,65.2,51.4,2734,0,0,119,7,3.43,3.23,90,5000,24,29,11048.0,False
50,1,2,0,0,1,1,0,93.1,159.1,64.2,54.1,1890,0,0,91,1,3.03,3.15,68,5000,30,31,5195.0,False
51,1,2,0,0,1,1,0,93.1,159.1,64.2,54.1,1900,0,0,91,1,3.03,3.15,68,5000,31,38,6095.0,False
52,1,2,0,0,1,1,0,93.1,159.1,64.2,54.1,1905,0,0,91,1,3.03,3.15,68,5000,31,38,6795.0,False
53,1,2,0,0,0,0,0,93.1,166.8,64.2,54.1,1945,0,0,91,1,3.03,3.15,68,5000,31,38,6695.0,False
54,1,2,0,0,0,0,0,93.1,166.8,64.2,54.1,1950,0,0,91,1,3.08,3.15,68,5000,31,38,7395.0,False
55,3,2,0,0,1,1,1,95.3,169.0,65.7,49.6,2380,5,3,70,5,3.33,3.255,101,6000,17,23,10945.0,False
56,3,2,0,0,1,1,1,95.3,169.0,65.7,49.6,2380,5,3,70,5,3.33,3.255,101,6000,17,23,11845.0,False
57,3,2,0,0,1,1,1,95.3,169.0,65.7,49.6,2385,5,3,70,5,3.33,3.255,101,6000,17,23,13645.0,False
58,3,2,0,0,1,1,1,95.3,169.0,65.7,49.6,2500,5,3,80,0,3.33,3.255,135,6000,16,23,15645.0,False
59,1,2,0,0,1,1,0,98.8,177.8,66.5,53.7,2385,0,0,122,1,3.39,3.39,84,4800,26,32,8845.0,False
60,0,2,0,0,0,0,0,98.8,177.8,66.5,55.5,2410,0,0,122,1,3.39,3.39,84,4800,26,32,8495.0,False
61,1,2,0,0,1,1,0,98.8,177.8,66.5,53.7,2385,0,0,122,1,3.39,3.39,84,4800,26,32,10595.0,False
62,0,2,0,0,0,0,0,98.8,177.8,66.5,55.5,2410,0,0,122,1,3.39,3.39,84,4800,26,32,10245.0,False
63,0,2,1,0,0,0,0,98.8,177.8,66.5,55.5,2443,0,0,122,2,3.39,3.39,64,4650,36,42,10795.0,False
64,0,2,0,0,0,1,0,98.8,177.8,66.5,55.5,2425,0,0,122,1,3.39,3.39,84,4800,26,32,11245.0,False
65,0,2,0,0,0,0,1,104.9,175.0,66.1,54.4,2670,0,0,140,0,3.76,3.16,120,5000,19,27,18280.0,False
66,0,2,1,0,0,0,1,104.9,175.0,66.1,54.4,2700,0,0,134,2,3.43,3.64,72,4200,31,39,18344.0,False
67,-1,15,1,1,0,0,1,110.0,190.9,70.3,56.5,3515,0,2,183,2,3.58,3.64,123,4350,22,25,25552.0,False
68,-1,15,1,1,0,2,1,110.0,190.9,70.3,58.7,3750,0,2,183,2,3.58,3.64,123,4350,22,25,28248.0,False
69,0,15,1,1,1,3,1,106.7,187.5,70.3,54.9,3495,0,2,183,2,3.58,3.64,123,4350,22,25,28176.0,False
75,1,19,0,1,1,1,1,102.7,178.4,68.0,54.8,2910,0,0,140,0,3.78,3.12,175,5000,19,24,16503.0,False
76,2,3,0,0,1,1,0,93.7,157.3,64.4,50.8,1918,0,0,92,1,2.97,3.23,68,5500,37,41,5389.0,False
77,2,3,0,0,1,1,0,93.7,157.3,64.4,50.8,1944,0,0,92,1,2.97,3.23,68,5500,31,38,6189.0,False
78,2,3,0,0,1,1,0,93.7,157.3,64.4,50.8,2004,0,0,92,1,2.97,3.23,68,5500,31,38,6669.0,False
79,1,3,0,1,1,1,0,93.0,157.3,63.8,50.8,2145,0,0,98,4,3.03,3.39,102,5500,24,30,7689.0,False
80,3,3,0,1,1,1,0,96.3,173.0,65.4,49.4,2370,0,0,110,4,3.17,3.46,116,5500,23,30,9959.0,False
81,3,3,0,0,1,1,0,96.3,173.0,65.4,49.4,2328,0,0,122,1,3.35,3.46,88,5000,25,32,8499.0,False
82,3,3,0,1,1,1,0,95.9,173.2,66.3,50.2,2833,0,0,156,4,3.58,3.86,145,5000,19,24,12629.0,False
83,3,3,0,1,1,1,0,95.9,173.2,66.3,50.2,2921,0,0,156,4,3.59,3.86,145,5000,19,24,14869.0,False
84,3,3,0,1,1,1,0,95.9,173.2,66.3,50.2,2926,0,0,156,4,3.59,3.86,145,5000,19,24,14489.0,False
85,1,3,0,0,0,0,0,96.3,172.4,65.4,51.6,2365,0,0,122,1,3.35,3.46,88,5000,25,32,6989.0,False
86,1,3,0,0,0,0,0,96.3,172.4,65.4,51.6,2405,0,0,122,1,3.35,3.46,88,5000,25,32,8189.0,False
87,1,3,0,1,0,0,0,96.3,172.4,65.4,51.6,2403,0,0,110,4,3.17,3.46,116,5500,23,30,9279.0,False
88,-1,3,0,0,0,0,0,96.3,172.4,65.4,51.6,2403,0,0,110,4,3.17,3.46,116,5500,23,30,9279.0,False
89,1,1,0,0,1,0,0,94.5,165.3,63.8,54.5,1889,0,0,97,1,3.15,3.29,69,5200,31,37,5499.0,False
90,1,1,1,0,1,0,0,94.5,165.3,63.8,54.5,2017,0,0,103,2,2.99,3.47,55,4800,45,50,7099.0,False
91,1,1,0,0,1,0,0,94.5,165.3,63.8,54.5,1918,0,0,97,1,3.15,3.29,69,5200,31,37,6649.0,False
92,1,1,0,0,0,0,0,94.5,165.3,63.8,54.5,1938,0,0,97,1,3.15,3.29,69,5200,31,37,6849.0,False
93,1,1,0,0,0,2,0,94.5,170.2,63.8,53.5,2024,0,0,97,1,3.15,3.29,69,5200,31,37,7349.0,False
94,1,1,0,0,1,0,0,94.5,165.3,63.8,54.5,1951,0,0,97,1,3.15,3.29,69,5200,31,37,7299.0,False
95,1,1,0,0,1,1,0,94.5,165.6,63.8,53.3,2028,0,0,97,1,3.15,3.29,69,5200,31,37,7799.0,False
96,1,1,0,0,0,0,0,94.5,165.3,63.8,54.5,1971,0,0,97,1,3.15,3.29,69,5200,31,37,7499.0,False
97,1,1,0,0,0,2,0,94.5,170.2,63.8,53.5,2037,0,0,97,1,3.15,3.29,69,5200,31,37,7999.0,False
98,2,1,0,0,1,3,0,95.1,162.4,63.8,53.3,2008,0,0,97,1,3.15,3.29,69,5200,31,37,8249.0,False
99,0,1,0,0,0,1,0,97.2,173.4,65.2,54.7,2324,0,0,120,1,3.33,3.47,97,5200,27,34,8949.0,False
100,0,1,0,0,0,0,0,97.2,173.4,65.2,54.7,2302,0,0,120,1,3.33,3.47,97,5200,27,34,9549.0,False
101,0,1,0,0,0,0,0,100.4,181.7,66.5,55.1,3095,4,1,181,0,3.43,3.27,152,5200,17,22,13499.0,False
102,0,1,0,0,0,2,0,100.4,184.6,66.5,56.1,3296,4,1,181,0,3.43,3.27,152,5200,17,22,14399.0,False
103,0,1,0,0,0,0,0,100.4,184.6,66.5,55.1,3060,4,1,181,0,3.43,3.27,152,5200,19,25,13499.0,False
104,3,1,0,0,1,1,1,91.3,170.7,67.9,49.7,3071,4,1,181,0,3.43,3.27,160,5200,19,25,17199.0,False
105,3,1,0,1,1,1,1,91.3,170.7,67.9,49.7,3139,4,1,181,0,3.43,3.27,200,5200,17,23,19699.0,False
106,1,1,0,0,1,1,1,99.2,178.5,67.9,49.7,3139,4,1,181,0,3.43,3.27,160,5200,19,25,18399.0,False
107,0,7,0,0,0,0,1,107.9,186.7,68.4,56.7,3020,1,0,120,0,3.46,3.19,97,5000,19,24,11900.0,False
108,0,7,1,1,0,0,1,107.9,186.7,68.4,56.7,3197,1,0,152,2,3.7,3.52,95,4150,28,33,13200.0,False
109,0,7,0,0,0,2,1,114.2,198.9,68.4,58.7,3230,1,0,120,0,3.46,3.19,97,5000,19,24,12440.0,False
110,0,7,1,1,0,2,1,114.2,198.9,68.4,58.7,3430,1,0,152,2,3.7,3.52,95,4150,25,25,13860.0,False
111,0,7,0,0,0,0,1,107.9,186.7,68.4,56.7,3075,1,0,120,0,3.46,2.19,95,5000,19,24,15580.0,False
112,0,7,1,1,0,0,1,107.9,186.7,68.4,56.7,3252,1,0,152,2,3.7,3.52,95,4150,28,33,16900.0,False
113,0,7,0,0,0,2,1,114.2,198.9,68.4,56.7,3285,1,0,120,0,3.46,2.19,95,5000,19,24,16695.0,False
114,0,7,1,1,0,2,1,114.2,198.9,68.4,58.7,3485,1,0,152,2,3.7,3.52,95,4150,25,25,17075.0,False
115,0,7,0,0,0,0,1,107.9,186.7,68.4,56.7,3075,1,0,120,0,3.46,3.19,97,5000,19,24,16630.0,False
116,0,7,1,1,0,0,1,107.9,186.7,68.4,56.7,3252,1,0,152,2,3.7,3.52,95,4150,28,33,17950.0,False
117,0,7,0,1,0,0,1,108.0,186.7,68.3,56.0,3130,1,0,134,0,3.61,3.21,142,5600,18,24,18150.0,False
118,1,11,0,0,1,1,0,93.7,157.3,63.8,50.8,1918,0,0,90,1,2.97,3.23,68,5500,37,41,5572.0,False
119,1,11,0,1,1,1,0,93.7,157.3,63.8,50.8,2128,0,0,98,4,3.03,3.39,102,5500,24,30,7957.0,False
120,1,11,0,0,0,1,0,93.7,157.3,63.8,50.6,1967,0,0,90,1,2.97,3.23,68,5500,31,38,6229.0,False
121,1,11,0,0,0,0,0,93.7,167.3,63.8,50.8,1989,0,0,90,1,2.97,3.23,68,5500,31,38,6692.0,False
122,1,11,0,0,0,0,0,93.7,167.3,63.8,50.8,2191,0,0,98,1,2.97,3.23,68,5500,31,38,7609.0,False
123,-1,11,0,0,0,2,0,103.3,174.6,64.6,59.8,2535,0,0,122,1,3.35,3.46,88,5000,24,30,8921.0,False
124,3,11,0,1,1,1,1,95.9,173.2,66.3,50.2,2818,0,0,156,4,3.59,3.86,145,5000,19,24,12764.0,False
125,3,20,0,0,1,1,1,94.5,168.9,68.3,50.2,2778,0,0,151,0,3.94,3.11,143,5500,19,27,22018.0,False
130,0,18,0,0,0,2,0,96.1,181.5,66.5,55.2,2579,0,0,132,0,3.46,3.9,90,5100,23,31,9295.0,False
131,2,18,0,0,1,1,0,96.1,176.8,66.6,50.5,2460,0,0,132,0,3.46,3.9,90,5100,23,31,9895.0,False
132,3,12,0,0,1,1,0,99.1,186.6,66.5,56.1,2658,0,0,121,0,3.54,3.07,110,5250,21,28,11850.0,False
133,2,12,0,0,0,0,0,99.1,186.6,66.5,56.1,2695,0,0,121,0,3.54,3.07,110,5250,21,28,12170.0,False
134,3,12,0,0,1,1,0,99.1,186.6,66.5,56.1,2707,0,0,121,0,2.54,2.07,110,5250,21,28,15040.0,False
135,2,12,0,0,0,0,0,99.1,186.6,66.5,56.1,2758,0,0,121,0,3.54,3.07,110,5250,21,28,15510.0,False
136,3,12,0,1,1,1,0,99.1,186.6,66.5,56.1,2808,3,0,121,0,3.54,3.07,160,5500,19,26,18150.0,False
137,2,12,0,1,0,0,0,99.1,186.6,66.5,56.1,2847,3,0,121,0,3.54,3.07,160,5500,19,26,18620.0,False
138,2,6,0,0,1,1,0,93.7,156.9,63.4,53.7,2050,2,0,97,1,3.62,2.36,69,4900,31,36,5118.0,False
139,2,6,0,0,1,1,0,93.7,157.9,63.6,53.7,2120,2,0,108,1,3.62,2.64,73,4400,26,31,7053.0,False
140,2,6,0,0,1,1,2,93.3,157.3,63.8,55.7,2240,2,0,108,1,3.62,2.64,73,4400,26,31,7603.0,False
141,0,6,0,0,0,0,0,97.2,172.0,65.4,52.5,2145,2,0,108,1,3.62,2.64,82,4800,32,37,7126.0,False
142,0,6,0,0,0,0,0,97.2,172.0,65.4,52.5,2190,2,0,108,1,3.62,2.64,82,4400,28,33,7775.0,False
143,0,6,0,0,0,0,0,97.2,172.0,65.4,52.5,2340,2,0,108,0,3.62,2.64,94,5200,26,32,9960.0,False
144,0,6,0,0,0,0,2,97.0,172.0,65.4,54.3,2385,2,0,108,1,3.62,2.64,82,4800,24,25,9233.0,False
145,0,6,0,1,0,0,2,97.0,172.0,65.4,54.3,2510,2,0,108,0,3.62,2.64,111,4800,24,29,11259.0,False
146,0,6,0,0,0,2,0,97.0,173.5,65.4,53.0,2290,2,0,108,1,3.62,2.64,82,4800,28,32,7463.0,False
147,0,6,0,0,0,2,0,97.0,173.5,65.4,53.0,2455,2,0,108,0,3.62,2.64,94,5200,25,31,10198.0,False
148,0,6,0,0,0,2,2,96.9,173.6,65.4,54.9,2420,2,0,108,1,3.62,2.64,82,4800,23,29,8013.0,False
149,0,6,0,1,0,2,2,96.9,173.6,65.4,54.9,2650,2,0,108,0,3.62,2.64,111,4800,23,23,11694.0,False
150,1,0,0,0,1,1,0,95.7,158.7,63.6,54.5,1985,0,0,92,1,3.05,3.03,62,4800,35,39,5348.0,False
151,1,0,0,0,1,1,0,95.7,158.7,63.6,54.5,2040,0,0,92,1,3.05,3.03,62,4800,31,38,6338.0,False
152,1,0,0,0,0,1,0,95.7,158.7,63.6,54.5,2015,0,0,92,1,3.05,3.03,62,4800,31,38,6488.0,False
153,0,0,0,0,0,2,0,95.7,169.7,63.6,59.1,2280,0,0,92,1,3.05,3.03,62,4800,31,37,6918.0,False
154,0,0,0,0,0,2,2,95.7,169.7,63.6,59.1,2290,0,0,92,1,3.05,3.03,62,4800,27,32,7898.0,False
155,0,0,0,0,0,2,2,95.7,169.7,63.6,59.1,3110,0,0,92,1,3.05,3.03,62,4800,27,32,8778.0,False
156,0,0,0,0,0,0,0,95.7,166.3,64.4,53.0,2081,0,0,98,1,3.19,3.03,70,4800,30,37,6938.0,False
157,0,0,0,0,0,1,0,95.7,166.3,64.4,52.8,2109,0,0,98,1,3.19,3.03,70,4800,30,37,7198.0,False
158,0,0,1,0,0,0,0,95.7,166.3,64.4,53.0,2275,0,0,110,2,3.27,3.35,56,4500,34,36,7898.0,False
159,0,0,1,0,0,1,0,95.7,166.3,64.4,52.8,2275,0,0,110,2,3.27,3.35,56,4500,38,47,7788.0,False
160,0,0,0,0,0,0,0,95.7,166.3,64.4,53.0,2094,0,0,98,1,3.19,3.03,70,4800,38,47,7738.0,False
161,0,0,0,0,0,1,0,95.7,166.3,64.4,52.8,2122,0,0,98,1,3.19,3.03,70,4800,28,34,8358.0,False
162,0,0,0,0,0,0,0,95.7,166.3,64.4,52.8,2140,0,0,98,1,3.19,3.03,70,4800,28,34,9258.0,False
163,1,0,0,0,1,0,1,94.5,168.7,64.0,52.6,2169,0,0,98,1,3.19,3.03,70,4800,29,34,8058.0,False
164,1,0,0,0,1,1,1,94.5,168.7,64.0,52.6,2204,0,0,98,1,3.19,3.03,70,4800,29,34,8238.0,False
165,1,0,0,0,1,0,1,94.5,168.7,64.0,52.6,2265,3,0,98,0,3.24,3.08,112,6600,26,29,9298.0,False
166,1,0,0,0,1,1,1,94.5,168.7,64.0,52.6,2300,3,0,98,0,3.24,3.08,112,6600,26,29,9538.0,False
167,2,0,0,0,1,3,1,98.4,176.2,65.6,52.0,2540,0,0,146,0,3.62,3.5,116,4800,24,30,8449.0,False
168,2,0,0,0,1,3,1,98.4,176.2,65.6,52.0,2536,0,0,146,0,3.62,3.5,116,4800,24,30,9639.0,False
169,2,0,0,0,1,1,1,98.4,176.2,65.6,52.0,2551,0,0,146,0,3.62,3.5,116,4800,24,30,9989.0,False
170,2,0,0,0,1,3,1,98.4,176.2,65.6,52.0,2679,0,0,146,0,3.62,3.5,116,4800,24,30,11199.0,False
171,2,0,0,0,1,1,1,98.4,176.2,65.6,52.0,2714,0,0,146,0,3.62,3.5,116,4800,24,30,11549.0,False
172,2,0,0,0,1,4,1,98.4,176.2,65.6,53.0,2975,0,0,146,0,3.62,3.5,116,4800,24,30,17669.0,False
173,-1,0,0,0,0,0,0,102.4,175.6,66.5,54.9,2326,0,0,122,0,3.31,3.54,92,4200,29,34,8948.0,False
174,-1,0,1,1,0,0,0,102.4,175.6,66.5,54.9,2480,0,0,110,2,3.27,3.35,73,4500,30,33,10698.0,False
175,-1,0,0,0,0,1,0,102.4,175.6,66.5,53.9,2414,0,0,122,0,3.31,3.54,92,4200,27,32,9988.0,False
176,-1,0,0,0,0,0,0,102.4,175.6,66.5,54.9,2414,0,0,122,0,3.31,3.54,92,4200,27,32,10898.0,False
177,-1,0,0,0,0,1,0,102.4,175.6,66.5,53.9,2458,0,0,122,0,3.31,3.54,92,4200,27,32,11248.0,False
178,3,0,0,0,1,1,1,102.9,183.5,67.7,52.0,2976,3,1,171,0,3.27,3.35,161,5200,20,24,16558.0,False
179,3,0,0,0,1,1,1,102.9,183.5,67.7,52.0,3016,3,1,171,0,3.27,3.35,161,5200,19,24,15998.0,False
180,-1,0,0,0,0,0,1,104.5,187.8,66.5,54.1,3131,3,1,171,0,3.27,3.35,156,5200,20,24,15690.0,False
181,-1,0,0,0,0,2,1,104.5,187.8,66.5,54.1,3151,3,1,161,0,3.27,3.35,156,5200,19,24,15750.0,False
182,2,5,1,0,1,0,0,97.3,171.7,65.5,55.7,2261,0,0,97,2,3.01,3.4,52,4800,37,46,7775.0,False
183,2,5,0,0,1,0,0,97.3,171.7,65.5,55.7,2209,0,0,109,0,3.19,3.4,85,5250,27,34,7975.0,False
184,2,5,1,0,0,0,0,97.3,171.7,65.5,55.7,2264,0,0,97,2,3.01,3.4,52,4800,37,46,7995.0,False
185,2,5,0,0,0,0,0,97.3,171.7,65.5,55.7,2212,0,0,109,0,3.19,3.4,85,5250,27,34,8195.0,False
186,2,5,0,0,0,0,0,97.3,171.7,65.5,55.7,2275,0,0,109,0,3.19,3.4,85,5250,27,34,8495.0,False
187,2,5,1,1,0,0,0,97.3,171.7,65.5,55.7,2319,0,0,97,2,3.01,3.4,68,4500,37,42,9495.0,False
188,2,5,0,0,0,0,0,97.3,171.7,65.5,55.7,2300,0,0,109,0,3.19,3.4,100,5500,26,32,9995.0,False
189,3,5,0,0,1,4,0,94.5,159.3,64.2,55.6,2254,0,0,109,0,3.19,3.4,90,5500,24,29,11595.0,False
190,3,5,0,0,1,1,0,94.5,165.7,64.0,51.4,2221,0,0,109,0,3.19,3.4,90,5500,24,29,9980.0,False
191,0,5,0,0,0,0,0,100.4,180.2,66.9,55.1,2661,0,2,136,0,3.19,3.4,110,5500,19,24,13295.0,False
192,0,5,1,1,0,0,0,100.4,180.2,66.9,55.1,2579,0,0,97,2,3.01,3.4,68,4500,33,38,13845.0,False
193,0,5,0,0,0,2,0,100.4,183.1,66.9,55.1,2563,0,0,109,0,3.19,3.4,88,5500,25,31,12290.0,False
194,-2,8,0,0,0,0,1,104.3,188.8,67.2,56.2,2912,0,0,141,0,3.78,3.15,114,5400,23,28,12940.0,False
195,-1,8,0,0,0,2,1,104.3,188.8,67.2,57.5,3034,0,0,141,0,3.78,3.15,114,5400,23,28,13415.0,False
196,-2,8,0,0,0,0,1,104.3,188.8,67.2,56.2,2935,0,0,141,0,3.78,3.15,114,5400,24,28,15985.0,False
197,-1,8,0,0,0,2,1,104.3,188.8,67.2,57.5,3042,0,0,141,0,3.78,3.15,114,5400,24,28,16515.0,False
198,-2,8,0,1,0,0,1,104.3,188.8,67.2,56.2,3045,0,0,130,0,3.62,3.15,162,5100,17,22,18420.0,False
199,-1,8,0,1,0,2,1,104.3,188.8,67.2,57.5,3157,0,0,130,0,3.62,3.15,162,5100,17,22,18950.0,False
200,-1,8,0,0,0,0,1,109.1,188.8,68.9,55.5,2952,0,0,141,0,3.78,3.15,114,5400,23,28,16845.0,False
201,-1,8,0,1,0,0,1,109.1,188.8,68.8,55.5,3049,0,0,141,0,3.78,3.15,160,5300,19,25,19045.0,False
202,-1,8,0,0,0,0,1,109.1,188.8,68.9,55.5,3012,4,1,173,0,3.58,2.87,134,5500,18,23,21485.0,False
203,-1,8,1,1,0,0,1,109.1,188.8,68.9,55.5,3217,0,1,145,2,3.01,3.4,106,4800,26,27,22470.0,False
204,-1,8,0,1,0,0,1,109.1,188.8,68.9,55.5,3062,0,0,141,0,3.78,3.15,114,5400,19,25,22625.0,False
